"Trees","Overall_error","Class_0_error","Class_1_error"
1,0.333333333333333,0.333333333333333,0.26530612244898
2,0.366197183098592,0.366197183098592,0.333333333333333
3,0.354497354497354,0.354497354497354,0.259615384615385
4,0.328571428571429,0.328571428571429,0.276785714285714
5,0.316742081447964,0.316742081447964,0.254237288135593
6,0.309012875536481,0.309012875536481,0.274193548387097
7,0.300847457627119,0.300847457627119,0.244094488188976
8,0.324894514767932,0.324894514767932,0.275590551181102
9,0.292887029288703,0.292887029288703,0.21875
10,0.322314049586777,0.322314049586777,0.263565891472868
11,0.316872427983539,0.316872427983539,0.253846153846154
12,0.312757201646091,0.312757201646091,0.238461538461538
13,0.288065843621399,0.288065843621399,0.223076923076923
14,0.267489711934156,0.267489711934156,0.192307692307692
15,0.283950617283951,0.283950617283951,0.215384615384615
16,0.275720164609054,0.275720164609054,0.207692307692308
17,0.267489711934156,0.267489711934156,0.207692307692308
18,0.292181069958848,0.292181069958848,0.215384615384615
19,0.275720164609054,0.275720164609054,0.2
20,0.275720164609054,0.275720164609054,0.207692307692308
21,0.288065843621399,0.288065843621399,0.230769230769231
22,0.279835390946502,0.279835390946502,0.230769230769231
23,0.271604938271605,0.271604938271605,0.2
24,0.275720164609054,0.275720164609054,0.207692307692308
25,0.283950617283951,0.283950617283951,0.192307692307692
26,0.288065843621399,0.288065843621399,0.215384615384615
27,0.279835390946502,0.279835390946502,0.215384615384615
28,0.267489711934156,0.267489711934156,0.207692307692308
29,0.271604938271605,0.271604938271605,0.215384615384615
30,0.267489711934156,0.267489711934156,0.207692307692308
31,0.259259259259259,0.259259259259259,0.215384615384615
32,0.267489711934156,0.267489711934156,0.223076923076923
33,0.263374485596708,0.263374485596708,0.215384615384615
34,0.259259259259259,0.259259259259259,0.207692307692308
35,0.259259259259259,0.259259259259259,0.215384615384615
36,0.271604938271605,0.271604938271605,0.238461538461538
37,0.271604938271605,0.271604938271605,0.230769230769231
38,0.267489711934156,0.267489711934156,0.230769230769231
39,0.283950617283951,0.283950617283951,0.261538461538462
40,0.271604938271605,0.271604938271605,0.246153846153846
41,0.271604938271605,0.271604938271605,0.238461538461538
42,0.267489711934156,0.267489711934156,0.230769230769231
43,0.263374485596708,0.263374485596708,0.223076923076923
44,0.267489711934156,0.267489711934156,0.238461538461538
45,0.255144032921811,0.255144032921811,0.223076923076923
46,0.251028806584362,0.251028806584362,0.215384615384615
47,0.263374485596708,0.263374485596708,0.230769230769231
48,0.263374485596708,0.263374485596708,0.238461538461538
49,0.259259259259259,0.259259259259259,0.230769230769231
50,0.263374485596708,0.263374485596708,0.238461538461538
51,0.251028806584362,0.251028806584362,0.223076923076923
52,0.255144032921811,0.255144032921811,0.223076923076923
53,0.263374485596708,0.263374485596708,0.230769230769231
54,0.255144032921811,0.255144032921811,0.223076923076923
55,0.259259259259259,0.259259259259259,0.223076923076923
56,0.259259259259259,0.259259259259259,0.223076923076923
57,0.259259259259259,0.259259259259259,0.223076923076923
58,0.255144032921811,0.255144032921811,0.215384615384615
59,0.263374485596708,0.263374485596708,0.230769230769231
60,0.263374485596708,0.263374485596708,0.223076923076923
61,0.263374485596708,0.263374485596708,0.223076923076923
62,0.259259259259259,0.259259259259259,0.223076923076923
63,0.255144032921811,0.255144032921811,0.215384615384615
64,0.255144032921811,0.255144032921811,0.215384615384615
65,0.255144032921811,0.255144032921811,0.215384615384615
66,0.267489711934156,0.267489711934156,0.230769230769231
67,0.263374485596708,0.263374485596708,0.223076923076923
68,0.271604938271605,0.271604938271605,0.230769230769231
69,0.263374485596708,0.263374485596708,0.223076923076923
70,0.267489711934156,0.267489711934156,0.230769230769231
71,0.267489711934156,0.267489711934156,0.230769230769231
72,0.263374485596708,0.263374485596708,0.230769230769231
73,0.263374485596708,0.263374485596708,0.223076923076923
74,0.263374485596708,0.263374485596708,0.223076923076923
75,0.255144032921811,0.255144032921811,0.215384615384615
76,0.263374485596708,0.263374485596708,0.223076923076923
77,0.263374485596708,0.263374485596708,0.215384615384615
78,0.263374485596708,0.263374485596708,0.223076923076923
79,0.263374485596708,0.263374485596708,0.223076923076923
80,0.271604938271605,0.271604938271605,0.223076923076923
81,0.259259259259259,0.259259259259259,0.215384615384615
82,0.259259259259259,0.259259259259259,0.215384615384615
83,0.259259259259259,0.259259259259259,0.215384615384615
84,0.259259259259259,0.259259259259259,0.207692307692308
85,0.259259259259259,0.259259259259259,0.207692307692308
86,0.263374485596708,0.263374485596708,0.215384615384615
87,0.259259259259259,0.259259259259259,0.215384615384615
88,0.263374485596708,0.263374485596708,0.223076923076923
89,0.267489711934156,0.267489711934156,0.223076923076923
90,0.263374485596708,0.263374485596708,0.215384615384615
91,0.259259259259259,0.259259259259259,0.207692307692308
92,0.259259259259259,0.259259259259259,0.207692307692308
93,0.263374485596708,0.263374485596708,0.207692307692308
94,0.263374485596708,0.263374485596708,0.207692307692308
95,0.263374485596708,0.263374485596708,0.207692307692308
96,0.263374485596708,0.263374485596708,0.215384615384615
97,0.267489711934156,0.267489711934156,0.215384615384615
98,0.267489711934156,0.267489711934156,0.215384615384615
99,0.263374485596708,0.263374485596708,0.215384615384615
100,0.267489711934156,0.267489711934156,0.215384615384615
101,0.263374485596708,0.263374485596708,0.215384615384615
102,0.263374485596708,0.263374485596708,0.223076923076923
103,0.267489711934156,0.267489711934156,0.223076923076923
104,0.267489711934156,0.267489711934156,0.223076923076923
105,0.267489711934156,0.267489711934156,0.223076923076923
106,0.267489711934156,0.267489711934156,0.223076923076923
107,0.263374485596708,0.263374485596708,0.223076923076923
108,0.267489711934156,0.267489711934156,0.223076923076923
109,0.263374485596708,0.263374485596708,0.223076923076923
110,0.263374485596708,0.263374485596708,0.223076923076923
111,0.267489711934156,0.267489711934156,0.223076923076923
112,0.267489711934156,0.267489711934156,0.223076923076923
113,0.267489711934156,0.267489711934156,0.223076923076923
114,0.259259259259259,0.259259259259259,0.223076923076923
115,0.259259259259259,0.259259259259259,0.223076923076923
116,0.259259259259259,0.259259259259259,0.223076923076923
117,0.263374485596708,0.263374485596708,0.223076923076923
118,0.263374485596708,0.263374485596708,0.223076923076923
119,0.259259259259259,0.259259259259259,0.223076923076923
120,0.263374485596708,0.263374485596708,0.223076923076923
121,0.267489711934156,0.267489711934156,0.223076923076923
122,0.259259259259259,0.259259259259259,0.223076923076923
123,0.267489711934156,0.267489711934156,0.223076923076923
124,0.263374485596708,0.263374485596708,0.223076923076923
125,0.263374485596708,0.263374485596708,0.223076923076923
126,0.267489711934156,0.267489711934156,0.223076923076923
127,0.267489711934156,0.267489711934156,0.223076923076923
128,0.267489711934156,0.267489711934156,0.223076923076923
129,0.259259259259259,0.259259259259259,0.223076923076923
130,0.263374485596708,0.263374485596708,0.223076923076923
131,0.263374485596708,0.263374485596708,0.223076923076923
132,0.263374485596708,0.263374485596708,0.223076923076923
133,0.259259259259259,0.259259259259259,0.223076923076923
134,0.259259259259259,0.259259259259259,0.223076923076923
135,0.259259259259259,0.259259259259259,0.223076923076923
136,0.255144032921811,0.255144032921811,0.223076923076923
137,0.259259259259259,0.259259259259259,0.223076923076923
138,0.255144032921811,0.255144032921811,0.223076923076923
139,0.259259259259259,0.259259259259259,0.223076923076923
140,0.255144032921811,0.255144032921811,0.223076923076923
141,0.259259259259259,0.259259259259259,0.223076923076923
142,0.259259259259259,0.259259259259259,0.223076923076923
143,0.259259259259259,0.259259259259259,0.223076923076923
144,0.259259259259259,0.259259259259259,0.223076923076923
145,0.255144032921811,0.255144032921811,0.223076923076923
146,0.259259259259259,0.259259259259259,0.223076923076923
147,0.259259259259259,0.259259259259259,0.223076923076923
148,0.255144032921811,0.255144032921811,0.223076923076923
149,0.259259259259259,0.259259259259259,0.223076923076923
150,0.263374485596708,0.263374485596708,0.223076923076923
151,0.263374485596708,0.263374485596708,0.223076923076923
152,0.263374485596708,0.263374485596708,0.223076923076923
153,0.263374485596708,0.263374485596708,0.223076923076923
154,0.263374485596708,0.263374485596708,0.223076923076923
155,0.263374485596708,0.263374485596708,0.223076923076923
156,0.267489711934156,0.267489711934156,0.223076923076923
157,0.263374485596708,0.263374485596708,0.223076923076923
158,0.263374485596708,0.263374485596708,0.215384615384615
159,0.263374485596708,0.263374485596708,0.223076923076923
160,0.263374485596708,0.263374485596708,0.223076923076923
161,0.263374485596708,0.263374485596708,0.223076923076923
162,0.263374485596708,0.263374485596708,0.223076923076923
163,0.259259259259259,0.259259259259259,0.215384615384615
164,0.263374485596708,0.263374485596708,0.215384615384615
165,0.263374485596708,0.263374485596708,0.223076923076923
166,0.259259259259259,0.259259259259259,0.215384615384615
167,0.259259259259259,0.259259259259259,0.215384615384615
168,0.255144032921811,0.255144032921811,0.215384615384615
169,0.255144032921811,0.255144032921811,0.215384615384615
170,0.259259259259259,0.259259259259259,0.215384615384615
171,0.255144032921811,0.255144032921811,0.215384615384615
172,0.259259259259259,0.259259259259259,0.215384615384615
173,0.255144032921811,0.255144032921811,0.215384615384615
174,0.259259259259259,0.259259259259259,0.215384615384615
175,0.259259259259259,0.259259259259259,0.215384615384615
